N,t,cc_co2,cc_energy,ct_co2,ct_energy,mlco2_co2,mlco2_energy
9,338.609459108,0.0045468080123509,0.0070780879985786,0.0020052729999999997,0.004169,0.0036870807769537784,0.006584072815988889
12,419.4129244889999,0.0057660825042243,0.0089761518984528,0.002644529,0.005497,0.004566940733324666,0.008155251309508331
15,521.8722689680001,0.0071861379628625,0.0111867747072012,0.003303579,0.006868,0.0056826091509848894,0.010147516341044445
