num_hidden,hidden_size,lr,alpha,batch_size,num_epochs,val_acc,val_loss
1,48,0.01,0.1,128,100,50.97395833333333,0.6929254738489787
2,48,0.01,0.1,128,100,50.97395833333333,0.6929263265927632
1,96,0.01,0.1,128,100,50.984375,0.6929069097836813
2,96,0.01,0.1,128,100,50.97395833333333,0.6929062497615814
1,192,0.01,0.1,128,100,51.05729166666667,0.6928103057543437
2,192,0.01,0.1,128,100,50.97395833333333,0.6928615311781565
1,24,0.05,0.0001,128,100,58.369791666666664,0.6342264690001806
2,24,0.05,0.0001,128,100,51.109375,0.6928487924734752
1,48,0.05,0.0001,128,100,56.40104166666667,0.6490929720799128
2,48,0.05,0.0001,128,100,51.13541666666667,0.6927867885430654
1,96,0.05,0.0001,128,100,91.265625,0.30205571621656413
2,96,0.05,0.0001,128,100,53.0625,0.6696482666333516
1,192,0.05,0.0001,128,100,77.25520833333334,0.4193225069344044
2,192,0.05,0.0001,128,100,59.166666666666664,0.6068265547355016
1,24,0.05,0.001,128,100,51.42708333333333,0.6926949675877889
2,24,0.05,0.001,128,100,50.989583333333336,0.6928423154354095
1,48,0.05,0.001,128,100,51.661458333333336,0.692682322661082
2,48,0.05,0.001,128,100,51.317708333333336,0.6928196346759796
1,96,0.05,0.001,128,100,59.885416666666664,0.6075048331419628
2,96,0.05,0.001,128,100,51.28125,0.6928593631585439
1,192,0.05,0.001,128,100,51.59375,0.6925258378187815
2,192,0.05,0.001,128,100,51.75520833333333,0.6925916333993276
1,24,0.05,0.01,128,100,51.708333333333336,0.6927760477860769
2,24,0.05,0.01,128,100,50.979166666666664,0.6929013049602508
1,48,0.05,0.01,128,100,51.59895833333333,0.6926512308915456
2,48,0.05,0.01,128,100,50.97395833333333,0.692910595734914
1,96,0.05,0.01,128,100,52.1875,0.692219808101654
2,96,0.05,0.01,128,100,51.161458333333336,0.6927542078495026
1,192,0.05,0.01,128,100,52.33333333333333,0.6926030981540681
2,192,0.05,0.01,128,100,51.1875,0.6926750417550405
1,24,0.05,0.1,128,100,51.067708333333336,0.6927574686209361
2,24,0.05,0.1,128,100,50.994791666666664,0.6928612903753917
1,48,0.05,0.1,128,100,51.07291666666667,0.6929129628340404
2,48,0.05,0.1,128,100,50.984375,0.6928388524055481
1,96,0.05,0.1,128,100,51.66666666666667,0.6928535072008769
2,96,0.05,0.1,128,100,50.97395833333333,0.6929176572958629
1,192,0.05,0.1,128,100,51.19791666666667,0.6928232363859812
2,192,0.05,0.1,128,100,51.10937499999999,0.6928632505734761
1,24,0.1,0.0001,128,100,51.05729166666667,0.692891449133555
2,24,0.1,0.0001,128,100,51.27604166666667,0.6927636849880219
1,48,0.1,0.0001,128,100,51.802083333333336,0.691952286163966
2,48,0.1,0.0001,128,100,51.00520833333333,0.6929366910457612
1,96,0.1,0.0001,128,100,51.421875,0.6925383889675141
2,96,0.1,0.0001,128,100,51.05208333333333,0.6928445915381114
1,192,0.1,0.0001,128,100,51.640625,0.6910132702191671
2,192,0.1,0.0001,128,100,51.927083333333336,0.6926742664972941
1,24,0.1,0.001,128,100,51.59375,0.6927796538670858
2,24,0.1,0.001,128,100,51.203125,0.6928016257286072
1,48,0.1,0.001,128,100,51.8125,0.6926778813203176
2,48,0.1,0.001,128,100,51.328125,0.6927563830216726
1,96,0.1,0.001,128,100,51.927083333333336,0.6924061238765716
2,96,0.1,0.001,128,100,51.442708333333336,0.6927596509456635
1,192,0.1,0.001,128,100,51.786458333333336,0.6925324769814809
2,192,0.1,0.001,128,100,51.65625,0.692754767338435
1,24,0.1,0.01,128,100,51.859375,0.6924096115430196
2,24,0.1,0.01,128,100,51.010416666666664,0.6929313107331594
1,48,0.1,0.01,128,100,51.90625,0.6925837624073029
2,48,0.1,0.01,128,100,51.04166666666667,0.692869066397349
1,96,0.1,0.01,128,100,52.026041666666664,0.6924870006243389
2,96,0.1,0.01,128,100,51.020833333333336,0.6928360156218212
1,192,0.1,0.01,128,100,51.864583333333336,0.6927374438444774
2,192,0.1,0.01,128,100,50.98958333333333,0.6928408054510753
1,24,0.1,0.1,128,100,51.734375,0.6928230245908102
2,24,0.1,0.1,128,100,50.973958333333336,0.6928852669397989
1,48,0.1,0.1,128,100,51.32291666666667,0.6928548022111256
2,48,0.1,0.1,128,100,50.97395833333333,0.6929390307267507
1,96,0.1,0.1,128,100,51.84375,0.6926728697617849
2,96,0.1,0.1,128,100,50.97395833333333,0.6928606406847636
1,192,0.1,0.1,128,100,51.557291666666664,0.6926975715160368
2,192,0.1,0.1,128,100,50.97395833333333,0.69290119210879
