num_hidden,hidden_size,lr,alpha,batch_size,num_epochs,val_acc,val_loss
1,60,0.01,0.01,128,100,51.00833333333333,0.6930623264689195
2,60,0.01,0.01,128,100,51.016666666666666,0.6928719994268919
1,120,0.01,0.01,128,100,51.12083333333334,0.6930081913345739
2,120,0.01,0.01,128,100,50.608333333333334,0.6930297537853843
1,240,0.01,0.01,128,100,51.475,0.6928428568338092
2,240,0.01,0.01,128,100,50.30833333333334,0.6931141326301977
1,30,0.01,0.1,128,100,50.5375,0.6930576848356347
2,30,0.01,0.1,128,100,50.724999999999994,0.6930296386543073
1,60,0.01,0.1,128,100,50.54166666666667,0.693039731289211
2,60,0.01,0.1,128,100,50.608333333333334,0.6930749134013527
1,120,0.01,0.1,128,100,50.71249999999999,0.6930324018001557
2,120,0.01,0.1,128,100,50.58333333333333,0.6930451948391764
1,240,0.01,0.1,128,100,50.9125,0.6929979923524354
2,240,0.01,0.1,128,100,50.625,0.6930236998357271
1,30,0.05,0.0001,128,100,50.86666666666667,0.6930032952835685
2,30,0.05,0.0001,128,100,50.72083333333333,0.6929618242539858
1,60,0.05,0.0001,128,100,50.8875,0.692923285772926
2,60,0.05,0.0001,128,100,50.85416666666667,0.6930583009594364
1,120,0.05,0.0001,128,100,50.87916666666666,0.692963080657156
2,120,0.05,0.0001,128,100,50.587500000000006,0.6930351188308315
1,240,0.05,0.0001,128,100,59.80416666666666,0.5955784399650599
2,240,0.05,0.0001,128,100,51.25833333333334,0.6927707427426388
1,30,0.05,0.001,128,100,51.09166666666667,0.6929251815143385
2,30,0.05,0.001,128,100,50.45,0.6931013835103889
1,60,0.05,0.001,128,100,51.525,0.6927975623231185
2,60,0.05,0.001,128,100,51.05416666666667,0.6930648904097708
1,120,0.05,0.001,128,100,51.42916666666666,0.6928278016416649
2,120,0.05,0.001,128,100,50.93750000000001,0.6930245860626822
1,240,0.05,0.001,128,100,51.425,0.6928434218231
2,240,0.05,0.001,128,100,51.0875,0.6928925203649621
1,30,0.05,0.01,128,100,51.520833333333336,0.6928847705063067
2,30,0.05,0.01,128,100,50.525,0.6930528957592814
1,60,0.05,0.01,128,100,51.45,0.6929187664860172
2,60,0.05,0.01,128,100,50.77499999999999,0.6930528392917232
1,120,0.05,0.01,128,100,51.475,0.6928668172735917
2,120,0.05,0.01,128,100,50.704166666666666,0.6930435412808469
1,240,0.05,0.01,128,100,51.2375,0.6929950607450385
2,240,0.05,0.01,128,100,50.5625,0.6931146659349141
1,30,0.05,0.1,128,100,50.8625,0.6930578084368455
2,30,0.05,0.1,128,100,50.275000000000006,0.6931247425706764
1,60,0.05,0.1,128,100,50.845833333333324,0.6929643430207906
2,60,0.05,0.1,128,100,50.791666666666664,0.692960324412898
1,120,0.05,0.1,128,100,50.925,0.6929841835247844
2,120,0.05,0.1,128,100,50.333333333333336,0.6931051329562539
1,240,0.05,0.1,128,100,51.3,0.6928796219198328
2,240,0.05,0.1,128,100,50.575,0.693056208836405
1,30,0.1,0.0001,128,100,50.92916666666667,0.6930241336947993
2,30,0.1,0.0001,128,100,50.33333333333333,0.6930991213572653
1,60,0.1,0.0001,128,100,50.77916666666667,0.6930053899162695
2,60,0.1,0.0001,128,100,50.56250000000001,0.6930577648313422
1,120,0.1,0.0001,128,100,51.25,0.6929517033853029
2,120,0.1,0.0001,128,100,50.62083333333333,0.6930802687218316
1,240,0.1,0.0001,128,100,50.704166666666666,0.6929093938124807
2,240,0.1,0.0001,128,100,50.49583333333332,6.46338779016545
1,30,0.1,0.001,128,100,51.11666666666667,0.6930028234657488
2,30,0.1,0.001,128,100,50.770833333333336,0.6929799638296428
1,60,0.1,0.001,128,100,51.32083333333334,0.692774025076314
2,60,0.1,0.001,128,100,51.17916666666667,0.6929884430609251
1,120,0.1,0.001,128,100,51.42916666666666,0.6927074181406121
2,120,0.1,0.001,128,100,51.02916666666666,0.6929281746086321
1,240,0.1,0.001,128,100,51.416666666666664,0.6928439284625806
2,240,0.1,0.001,128,100,51.07083333333334,0.6929951743075722
1,30,0.1,0.01,128,100,51.791666666666664,0.6927339089544196
2,30,0.1,0.01,128,100,50.62916666666667,0.6930627822875977
1,60,0.1,0.01,128,100,51.36666666666666,0.6928885569697932
2,60,0.1,0.01,128,100,51.00833333333334,0.6929622640735225
1,120,0.1,0.01,128,100,51.6375,0.6928730861136787
2,120,0.1,0.01,128,100,50.6,0.6930758821336845
1,240,0.1,0.01,128,100,51.24583333333334,0.6927961158125024
2,240,0.1,0.01,128,100,51.09583333333334,0.6928994062699769
1,30,0.1,0.1,128,100,50.69166666666668,0.6930603773970354
2,30,0.1,0.1,128,100,50.483333333333334,0.6930798925851521
1,60,0.1,0.1,128,100,50.833333333333336,0.6929122306798633
2,60,0.1,0.1,128,100,50.675,0.6929880496702696
1,120,0.1,0.1,128,100,50.87083333333334,0.6930323823502189
2,120,0.1,0.1,128,100,50.35,0.6931182635457891
1,240,0.1,0.1,128,100,51.208333333333336,0.6928982675075532
2,240,0.1,0.1,128,100,50.43333333333333,0.6930880998310289
